concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,CDM_table,CDM_variable,valid_for_question
3654996,Peripheral arterial disease,Condition,SNOMED,Disorder,S,840580004,2020-07-31,2099-12-31,condition_occurrence,condition_concept_id,
316139,Heart failure,Condition,SNOMED,Disorder,S,84114007,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
255573,Chronic obstructive pulmonary disease,Condition,SNOMED,Disorder,S,13645005,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
3655803,Ventricular tachycardia ablation,Procedure,SNOMED,Procedure,S,870252007,2020-07-31,2099-12-31,procedure_occurrence,procedure_concept_id,
439847,Intracranial hemorrhage,Condition,SNOMED,Disorder,S,1386000,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
141253,Disorder of thyroid gland,Condition,SNOMED,Disorder,S,14304000,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
4329847,Myocardial infarction,Condition,SNOMED,Disorder,S,22298006,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
4124699,Re-entrant atrioventricular tachycardia,Condition,SNOMED,Disorder,S,233897008,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
44814723,Period while enrolled in study,Type Concept,Obs Period Type,Obs Period Type,,OMOP4822292,1970-01-01,2099-12-31,observation_period,period_type_concept_id,
32883,Survey,Type Concept,Type Concept,Type Concept,S,OMOP4976956,2020-08-20,2099-12-31,observation,observation_type_concept_id,
1546523,Hispanic OR Latino,Race,Race,Race,S,OMOP5558665,2025-07-01,2099-12-31,person,race_concept_id,
1546847,More than one race,Race,Race,Race,S,OMOP5558986,2025-07-01,2099-12-31,person,race_concept_id,
8657,American Indian or Alaska Native,Race,Race,Race,S,1,1970-01-01,2099-12-31,person,race_concept_id,
8515,Asian,Race,Race,Race,S,2,1970-01-01,2099-12-31,person,race_concept_id,
8516,Black or African American,Race,Race,Race,S,3,1970-01-01,2099-12-31,person,race_concept_id,
8557,Native Hawaiian or Other Pacific Islander,Race,Race,Race,S,4,1970-01-01,2099-12-31,person,race_concept_id,
8527,White,Race,Race,Race,S,5,1970-01-01,2099-12-31,person,race_concept_id,
8522,Other Race,Race,Race,Race,,9,1970-01-01,2014-07-31,person,race_concept_id,
3027172,Left ventricular Ejection fraction,Measurement,LOINC,Clinical Observation,S,10230-1,1970-01-01,2099-12-31,measurement,measurement_concept_id,
3016723,Creatinine [Mass/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,2160-0,1970-01-01,2099-12-31,measurement,measurement_concept_id,
3025315,Body weight,Measurement,LOINC,Clinical Observation,S,29463-7,1970-01-01,2099-12-31,measurement,measurement_concept_id,
3029187,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,33762-6,1970-01-01,2099-12-31,measurement,measurement_concept_id,
40764999,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)/1.73 sq M",Measurement,LOINC,Lab Test,S,62238-1,2010-11-11,2099-12-31,measurement,measurement_concept_id,
3000963,Hemoglobin [Mass/volume] in Blood,Measurement,LOINC,Lab Test,S,718-7,1970-01-01,2099-12-31,measurement,measurement_concept_id,
46236800,Left atrial End-systolic volume/Body surface area [Volume/Area] by US.2D+Calculated by modified Simpson method,Measurement,LOINC,Clinical Observation,S,77906-6,2015-06-19,2099-12-31,measurement,measurement_concept_id,
3036277,Body height,Measurement,LOINC,Clinical Observation,S,8302-2,1996-09-06,2099-12-31,measurement,measurement_concept_id,
3012888,Diastolic blood pressure,Measurement,LOINC,Clinical Observation,S,8462-4,1996-09-06,2099-12-31,measurement,measurement_concept_id,
1448963,Implantable electrocardiographic monitor and loop recorder,Device,SNOMED,Physical Object,S,1344962007,2024-09-01,2099-12-31,device_exposure,device_concept_id,
32809,Case Report Form,Type Concept,Type Concept,Type Concept,S,OMOP4976882,2020-08-20,2099-12-31,measurement,measurement_type_concept_id,
8554,percent,Unit,UCUM,Unit,S,%,1970-01-01,2099-12-31,measurement,unit_concept_id,
8582,centimeter,Unit,UCUM,Unit,S,cm,1970-01-01,2099-12-31,measurement,unit_concept_id,
8483,counts per minute,Unit,UCUM,Unit,S,{counts}/min,1970-01-01,2099-12-31,measurement,unit_concept_id,
8512,day,Unit,UCUM,Unit,S,d,1970-01-01,2099-12-31,observation,unit_concept_id,
8636,gram per liter,Unit,UCUM,Unit,S,g/L,1970-01-01,2099-12-31,measurement,unit_concept_id,
8505,hour,Unit,UCUM,Unit,S,h,1970-01-01,2099-12-31,observation,unit_concept_id,
9529,kilogram,Unit,UCUM,Unit,S,kg,1970-01-01,2099-12-31,measurement,unit_concept_id,
8840,milligram per deciliter,Unit,UCUM,Unit,S,mg/dL,1970-01-01,2099-12-31,measurement,unit_concept_id,
32739,milliliter per square meter,Unit,UCUM,Unit,S,ml/m2,1970-01-01,2099-12-31,measurement,unit_concept_id,
8876,millimeter mercury column,Unit,UCUM,Unit,S,mm[Hg],1970-01-01,2099-12-31,measurement,unit_concept_id,
8845,picogram per milliliter,Unit,UCUM,Unit,S,pg/mL,1970-01-01,2099-12-31,measurement,unit_concept_id,
8555,second,Unit,UCUM,Unit,S,s,1970-01-01,2099-12-31,observation,unit_concept_id,
9201,Inpatient Visit,Visit,Visit,Visit,S,IP,1970-01-01,2099-12-31,visit_occurrence,visit_concept_id,
9202,Outpatient Visit,Visit,Visit,Visit,S,OP,1970-01-01,2099-12-31,visit_occurrence,visit_concept_id,
45883458,Former smoker,Meas Value,LOINC,Answer,S,LA15920-4,1970-01-01,2099-12-31,observation,value_as_concept_id,43054909
45879404,Never smoker,Meas Value,LOINC,Answer,S,LA18978-9,1970-01-01,2099-12-31,observation,value_as_concept_id,43054909
36309332,Current smoker,Meas Value,LOINC,Answer,S,LA20356-4,1970-01-01,2099-12-31,observation,value_as_concept_id,43054909
37164898,Subcutaneous implantable cardioverter defibrillator,Device,SNOMED,Physical Object,S,1236894001,2022-08-31,2099-12-31,device_exposure,device_concept_id,
3027018,Heart rate,Measurement,LOINC,Clinical Observation,S,8867-4,1970-01-01,2099-12-31,measurement,measurement_concept_id,
3004249,Systolic blood pressure,Measurement,LOINC,Clinical Observation,S,8480-6,1996-09-06,2099-12-31,measurement,measurement_concept_id,
43054909,Tobacco smoking status,Observation,LOINC,Clinical Observation,S,72166-2,2012-12-28,2099-12-31,observation,observation_concept_id,
32836,EHR physical examination,Type Concept,Type Concept,Type Concept,S,OMOP4976909,2020-08-20,2099-12-31,measurement,measurement_type_concept_id,
604668,Cardiac irreversible electroporation system catheter,Device,SNOMED,Physical Object,S,1003475009,2021-01-31,2099-12-31,device_exposure,device_concept_id,
4030875,Cardiac pacemaker,Device,SNOMED,Physical Object,S,14106009,2002-01-31,2099-12-31,device_exposure,device_concept_id,
4078793,Direct current cardioversion,Procedure,SNOMED,Procedure,S,180325003,2002-01-31,2099-12-31,procedure_occurrence,procedure_concept_id,
4089036,Telephone encounter,Procedure,SNOMED,Procedure,S,185317003,2002-01-31,2099-12-31,observation,value_as_concept_id,
4336464,Coronary artery bypass graft,Procedure,SNOMED,Procedure,S,232717009,2002-01-31,2099-12-31,procedure_occurrence,procedure_concept_id,
4142947,Symptomatic,Meas Value,SNOMED,Qualifier Value,S,264931009,2002-01-31,2099-12-31,observation,value_as_concept_id,2000009005
4195981,Medical records review,Observation,SNOMED,Procedure,S,312853008,2002-01-31,2099-12-31,observation,observation_concept_id,
44792034,Consent withdrawn to share patient data with specified third party,Observation,SNOMED,Clinical Finding,S,320041000000109,2008-04-01,2099-12-31,observation,value_as_concept_id,
443392,Malignant neoplastic disease,Condition,SNOMED,Disorder,S,363346000,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
4163894,Lost to follow-up,Observation,SNOMED,Clinical Finding,S,399307001,2003-07-31,2099-12-31,observation,value_as_concept_id,
32827,EHR encounter record,Type Concept,Type Concept,Type Concept,S,OMOP4976900,2020-08-20,2099-12-31,condition_occurrence,condition_type_concept_id,
38003563,Hispanic or Latino,Ethnicity,Ethnicity,Ethnicity,S,Hispanic,1970-01-01,2099-12-31,person,ethnicity_concept_id,
38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,Ethnicity,S,Not Hispanic,1970-01-01,2099-12-31,person,ethnicity_concept_id,
8532,FEMALE,Gender,Gender,Gender,S,F,1970-01-01,2099-12-31,person,gender_concept_id,
8507,MALE,Gender,Gender,Gender,S,M,1970-01-01,2099-12-31,person,gender_concept_id,
4216130,Percutaneous coronary intervention,Procedure,SNOMED,Procedure,S,415070008,2005-01-31,2099-12-31,procedure_occurrence,procedure_concept_id,
4323629,Ablation of atrioventricular node,Procedure,SNOMED,Procedure,S,428663009,2008-01-31,2099-12-31,procedure_occurrence,procedure_concept_id,
4181800,Maze procedure for atrial fibrillation,Procedure,SNOMED,Procedure,S,429211003,2008-01-31,2099-12-31,procedure_occurrence,procedure_concept_id,
4233452,Chemical cardioversion,Procedure,SNOMED,Procedure,S,440142000,2009-01-31,2099-12-31,procedure_occurrence,procedure_concept_id,
37208174,Left atrial appendage closure,Procedure,SNOMED,Procedure,S,461331000124101,2019-03-01,2099-12-31,procedure_occurrence,procedure_concept_id,
45762052,Electrocardiographic long-term ambulatory recorder,Device,SNOMED,Physical Object,S,468489001,2014-07-31,2099-12-31,device_exposure,device_concept_id,
45762462,Electrocardiography telemetric monitoring system,Device,SNOMED,Physical Object,S,469103001,2014-07-31,2099-12-31,device_exposure,device_concept_id,
45766893,"Hypertension, abnormal renal/liver function, stroke, bleeding history or predisposition, labile international normalized ratio, elderly over 65, and drugs/alcohol concomitantly score",Measurement,SNOMED,Staging / Scales,S,704154001,2015-01-31,2099-12-31,measurement,measurement_concept_id,
45767328,Cardiac resynchronization therapy implantable defibrillator,Device,SNOMED,Physical Object,S,704707009,2014-07-31,2099-12-31,device_exposure,device_concept_id,
45767329,Cardiac resynchronization therapy implantable pacemaker,Device,SNOMED,Physical Object,S,704708004,2014-07-31,2099-12-31,device_exposure,device_concept_id,
45768113,Electrocardiograph,Device,SNOMED,Physical Object,S,705983006,2014-07-31,2099-12-31,device_exposure,device_concept_id,
45769227,Percutaneous transluminal ablation of pulmonary vein to left atrium conducting system,Procedure,SNOMED,Procedure,S,707831001,2015-01-31,2099-12-31,procedure_occurrence,procedure_concept_id,
37017409,CHA2DS2-VASc score,Measurement,SNOMED,Staging / Scales,S,713678009,2016-01-31,2099-12-31,measurement,measurement_concept_id,
201820,Diabetes mellitus,Condition,SNOMED,Disorder,S,73211009,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
798885,episode.episode_id,Metadata,CDM,Field,S,CDM1040,2023-02-08,2099-12-31,episode_event,episode_event_field_concept_id,
36304160,Encounter location [Type],Observation,LOINC,Clinical Observation,S,89009-5,2018-06-15,2099-12-31,observation,observation_concept_id,
381316,Cerebrovascular accident,Condition,SNOMED,Disorder,S,230690007,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
4013643,Pulmonary arterial hypertension,Condition,SNOMED,Disorder,S,11399002,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
3001308,Cholesterol in LDL [Moles/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,22748-8,1999-12-02,2099-12-31,measurement,measurement_concept_id,
3022318,Heart rate rhythm,Measurement,LOINC,Clinical Observation,S,8884-9,1970-01-01,2099-12-31,measurement,measurement_concept_id,
443454,Cerebral infarction,Condition,SNOMED,Disorder,S,432504007,2008-07-31,2099-12-31,condition_occurrence,condition_concept_id,
373503,Transient cerebral ischemia,Condition,SNOMED,Disorder,S,266257000,2002-01-31,2099-12-31,condition_occurrence,condition_concept_id,
44810922,Participation in research study completed,Observation,SNOMED,Clinical Finding,S,871441000000107,2013-04-01,2099-12-31,observation,observation_concept_id,
44804465,Cost,Observation,SNOMED,Qualifier Value,S,720561000000100,2010-10-01,2099-12-31,observation,observation_concept_id,
32828,EHR episode record,Type Concept,Type Concept,Type Concept,S,OMOP4976901,2020-08-20,2099-12-31,episode,episode_type_concept_id,
9618,ohm,Unit,UCUM,Unit,S,Ohm,1970-01-01,2099-12-31,measurement,unit_concept_id,
21491502,R-R interval.standard deviation (Heart rate variability),Measurement,LOINC,Clinical Observation,S,80404-7,2016-06-24,2099-12-31,measurement,measurement_concept_id,
44783192,Alert received from telehealth monitoring system,Observation,SNOMED,Context-dependent,S,699249000,2014-01-31,2099-12-31,observation,value_as_concept_id,
4189457,Clinical finding absent,Observation,SNOMED,Context-dependent,S,373572006,2002-07-31,2099-12-31,observation,value_as_concept_id,
45884199,Test not performed,Meas Value,LOINC,Answer,S,LA13546-9,1970-01-01,2099-12-31,measurement,value_as_concept_id,
45880382,Unable to determine,Meas Value,LOINC,Answer,S,LA11137-9,1970-01-01,2099-12-31,measurement,value_as_concept_id,
45877096,Sinus rhythm,Meas Value,LOINC,Answer,S,LA17718-0,1970-01-01,2099-12-31,measurement,value_as_concept_id,3022318
45877359,Paced rhythm,Meas Value,LOINC,Answer,S,LA17093-8,1970-01-01,2099-12-31,measurement,value_as_concept_id,3022318
3006307,R-R interval (Mean value during study),Measurement,LOINC,Clinical Observation,S,18505-8,1998-08-25,2099-12-31,measurement,measurement_concept_id,
46235177,R-R interval (Maximum value during study),Measurement,LOINC,Clinical Observation,S,76638-6,2015-03-11,2099-12-31,measurement,measurement_concept_id,
46235178,R-R interval (Minimum value during study),Measurement,LOINC,Clinical Observation,S,76639-4,2015-03-11,2099-12-31,measurement,measurement_concept_id,
9593,millisecond,Unit,UCUM,Unit,S,ms,1970-01-01,2099-12-31,measurement,unit_concept_id,
1123627,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,Drug,ATC,ATC 4th,S,A10BK,1970-01-01,2099-12-31,drug_exposure,drug_concept_id,
1588648,valsartan and sacubitril,Drug,ATC,ATC 5th,C,C09DX04,1970-01-01,2099-12-31,drug_exposure,drug_concept_id,
36675126,Platelet aggregation inhibitor,Drug,SNOMED,Substance,,771452004,2019-01-31,2099-12-31,drug_exposure,drug_concept_id,
3666997,Renin-angiotensin system inhibitor,Drug,SNOMED,Substance,,866173006,2020-07-31,2099-12-31,drug_exposure,drug_concept_id,
4156739,Aldosterone receptor antagonist,Drug,SNOMED,Substance,,372603003,2002-07-31,2099-12-31,drug_exposure,drug_concept_id,
4186985,Direct acting anticoagulant,Drug,SNOMED,Substance,,372636002,2002-07-31,2099-12-31,drug_exposure,drug_concept_id,
4186999,Diuretic,Drug,SNOMED,Substance,,372695000,2002-07-31,2099-12-31,drug_exposure,drug_concept_id,
4187146,Antiarrhythmic agent,Drug,SNOMED,Substance,,372813008,2002-07-31,2099-12-31,drug_exposure,drug_concept_id,
4189269,Beta adrenergic receptor antagonist,Drug,SNOMED,Substance,,373254001,2002-07-31,2099-12-31,drug_exposure,drug_concept_id,
4159947,Calcium channel blocker,Drug,SNOMED,Substance,,373304005,2002-07-31,2099-12-31,drug_exposure,drug_concept_id,
4249287,Digitalis glycoside,Drug,SNOMED,Substance,,406759007,2004-01-31,2099-12-31,drug_exposure,drug_concept_id,
3170518,Lipid lowering drug,Drug,Nebraska Lexicon,Pharma/Biol Product,,57952007,2018-07-31,2026-07-28,drug_exposure,drug_concept_id,
37534898,Study Acronym,Observation,CDISC,Observable Entity,,C94108,2023-12-01,2099-12-31,,,
37544104,Study Design,Observation,CDISC,Observable Entity,,C15320,2023-12-01,2099-12-31,,,
37532887,Study Start Date,Observation,CDISC,Observable Entity,,C99157-STSTDTC,2023-12-01,2099-12-31,,,
37540136,Study End Date,Observation,CDISC,Observable Entity,,C99156-STENDTC,2023-12-01,2099-12-31,,,
37534737,Planned Trial Duration,Observation,CDISC,Observable Entity,,C127796-PLNTRDUR,2023-12-01,2099-12-31,,,
37527364,ADJUDICATION COMMITTEE,Observation,CDISC,Social Context,,C78726,2023-12-01,2099-12-31,,,
37538182,EQ-5D-5L,Observation,CDISC,Observable Entity,,C102117,2023-12-01,2099-12-31,,,
37522564,Date of First Enrollment,Observation,CDISC,Observable Entity,,C139171,2023-12-01,2099-12-31,,,
37534585,Death Diagnosis,Observation,CDISC,Observable Entity,,C81239-DEATHD,2023-12-01,2099-12-31,,,
44803317,Death administration,Type Concept,SNOMED,Record Artifact,,713461000000100,2010-10-01,2099-12-31,death,death_type_concept_id,
21494070,Birth year,Observation,LOINC,Survey,S,80904-6,2016-06-24,2099-12-31,,,
756303,location.country_concept_id,Metadata,CDM,Field,S,CDM988,2021-09-25,2099-12-31,,,
3016125,Date last contact,Observation,LOINC,Clinical Observation,S,21975-8,1970-01-01,2099-12-31,observation,observation_concept_id,
37529738,Treatment Arm,Observation,CDISC,Observable Entity,,C15538,2023-12-01,2099-12-31,person_study,arm_type_concept_id,
37542561,Control Arm,Observation,CDISC,Observable Entity,,C174226,2023-12-01,2099-12-31,person_study,arm_type_concept_id,
37530454,Placebo Comparator Arm,Observation,CDISC,Observable Entity,,C174268,2023-12-01,2099-12-31,person_study,arm_type_concept_id,
37543327,Sham Comparator Arm,Observation,CDISC,Observable Entity,,C174269,2023-12-01,2099-12-31,person_study,arm_type_concept_id,
37529223,No Intervention Arm,Observation,CDISC,Observable Entity,,C174270,2023-12-01,2099-12-31,person_study,arm_type_concept_id,
32880,Standard algorithm,Type Concept,Type Concept,Type Concept,S,OMOP4976953,2020-08-20,2099-12-31,measurement,measurement_type_concept_id,
8550,minute,Unit,UCUM,Unit,S,min,1970-01-01,2099-12-31,,,
1147869,visit_occurrence.visit_occurrence_id,Metadata,CDM,Field,S,CDM916,2018-10-11,2099-12-31,observation,obs_event_field_concept_id,
