part_c_domain,part_c_domain_label,part_c_item,concept_id,rationale
AB,AF burden,Monitoring coverage,2000007003,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,Analysable ECGs in window,2000008008,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,ECGs classified as atrial fibrillation in window,2000008009,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
AB,AF burden,Episode duration,2000009003,"Burden at baseline and during follow-up: modality, monitoring period, data resolution."
CE/AE,Clinical events,Ischaemic stroke,443454,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Haemorrhagic stroke,439847,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Transient ischemic attack,373503,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Systemic embolism,2000005009,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Heart failure hospitalisation,2000005010,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Myocardial infarction or ACS hospitalisation,4329847,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Major bleeding,2000005002,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Atrial fibrillation recurrence,2000005005,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,New-onset atrial fibrillation,2000005007,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Atrial fibrillation progression,2000005008,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,All-cause hospitalisation,2000005001,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,End-stage kidney disease,193782,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
CE/AE,Clinical events,Event ascertainment source,2000007002,"Stroke, systemic embolism, HF hospitalisation, MI, bleeding, AF recurrence."
DS/DD,"Disposition, death",Death,44803317,"Death and cause, end of follow-up, last contact."
DS/DD,"Disposition, death",End of follow-up,44810922,"Death and cause, end of follow-up, last contact."
DS/DD,"Disposition, death",Last contact,3016125,"Death and cause, end of follow-up, last contact."
QS,Questionnaires / PRO,Atrial fibrillation symptom class (EHRA),2000009007,"EQ-5D, AFEQT, symptom class, cognition."
RS,Raw signals,Digital 12-lead ECG waveform,2000010003,"ECG waveforms, device reports and extracts."
RS,Raw signals,CIED remote-monitoring data extracts,2000010004,"ECG waveforms, device reports and extracts."
RS,Raw signals,CIED interrogation PDFs,2000010005,"ECG waveforms, device reports and extracts."
RS,Raw signals,Scanned documents / letters,2000010000,"ECG waveforms, device reports and extracts."
MC,Methodological Concept,Baseline visit,2000013017,"AFBSTEP methodological concept (not a Part C questionnaire item); marks a visit_occurrence row as the protocol's baseline visit."
